labels,scientific_name,location
ABBOTTS BABBLER,MALACOCINCLA ABBOTTI,asia
ABBOTTS BOOBY,PAPASULA ABBOTTI,asia
ABERTS TOWHEE,PIPILO ABERTI,north america
ABYSSINIAN GROUND HORNBILL,BUCORVUS ABYSSINICUS,africa
AFRICAN CROWNED CRANE,BALEARICA REGULORUM,africa
AFRICAN EMERALD CUCKOO,CHRYSOCOCCYX CUPREUS,africa
AFRICAN FIREFINCH,LAGONOSTICTA RUBRICATA,africa
AFRICAN OYSTER CATCHER,HAEMATOPUS MOQUINI,africa
AFRICAN PIED HORNBILL,TOCKUS FASCIATUS,africa
AFRICAN PYGMY GOOSE,NETTAPUS AURITUS,africa
ALBATROSS,DIOMEDEIDAE,antarctica;oceania;africa;south america;north america;asia
ALEXANDRINE PARAKEET,PSITTACULA EUPATRIA,north america
ALPINE CHOUGH,PYRRHOCORAX GRACULUS,europe;asia;africa
ALTAMIRA YELLOWTHROAT,GEOTHLYPIS FLAVOVELATA,north america
AMERICAN AVOCET,RECURVIROSTRA AMERICANA,north america
AMERICAN BITTERN,BOTAURUS LENTIGINOSUS,north america;central america
AMERICAN COOT,FULICA AMERICANA,north america;central america
AMERICAN DIPPER,CINCLUS MEXICANUS,north america;central america
AMERICAN FLAMINGO,PHOENICOPTERUS RUBER,north america;south america
AMERICAN GOLDFINCH,SPINUS TRISTIS,north america
AMERICAN KESTREL,FALCO SPARVERIUS,north america;central america;south america
AMERICAN PIPIT,ANTHUS RUBESCENS,north america;central america;asia
AMERICAN REDSTART,SETOPHAGA RUTICILLA,north america;central america;south america
AMERICAN ROBIN,TURDUS MIGRATORIUS,north america
AMERICAN WIGEON,MARECA AMERICANA,north america;central america;south america
AMETHYST WOODSTAR,CALLIPHLOX AMETHYSTINA,south america
ANDEAN GOOSE,CHLOEPHAGA MELANOPTERA,south america
ANDEAN LAPWING,VANELLUS RESPLENDENS,south america
ANDEAN SISKIN,SPINUS SPINESCENS,south america
ANHINGA,ANHINGA ANHINGA,north america;central america;south america
ANIANIAU,MAGUMMA PARVA,oceania
ANNAS HUMMINGBIRD,CALYPTE ANNA,north america
ANTBIRD,THAMNOPHILIDAE,central america;south america
ANTILLEAN EUPHONIA,EUPHONIA MUSICA,north america
APAPANE,HIMATIONE SANGUINEA,oceania
APOSTLEBIRD,STRUTHIDEA CINEREA,oceania
ARARIPE MANAKIN,ANTILOPHIA BOKERMANNI,south america
ASHY STORM PETREL,OCEANODROMA HOMOCHROA,north america
ASHY THRUSHBIRD,GEOKICHLA CINEREA,asia
ASIAN CRESTED IBIS,NIPPONIA NIPPON,asia
ASIAN DOLLARD BIRD,EURYSTOMUS ORIENTALIS,asia;oceania
ASIAN GREEN BEE EATER,MEROPS ORIENTALIS,asia
ASIAN OPENBILL STORK,ANASTOMUS OSCITANS,asia
AUCKLAND SHAG,LEUCOCARBO COLENSOI,oceania
AUSTRAL CANASTERO,ASTHENES ANTHOIDES,south america
AUSTRALASIAN FIGBIRD,SPHECOTHERES VIEILLOTI,oceania
AUSTRALIAN MAGPIE,GYMNORHINA TIBICEN,oceania
AVADAVAT,AMANDAVA AMANDAVA,asia
AZARAS SPINETAIL,SYNALLAXIS AZARAE,south america
AZURE BREASTED PITTA,PITTA STEERII,asia
AZURE JAY,CYANOCORAX CAERULEUS,south america
AZURE TANAGER,THRAUPIS CYANOPTERA,south america
AZURE TIT,CYANISTES CYANUS,asia
BAIKAL TEAL,ANAS FORMOSA,asia
BALD EAGLE,HALIAEETUS LEUCOCEPHALUS,north america
